student_id,student_name,student_class,student_gender,student_age,student_height,student_score
44,Divya Bajaj,Class 4A,F,9,195.1,54.45
45,Sunita Pillai,Class 1B,M,18,187.0,0.28
46,Sarah Reddy,  Class 6A  ,F,13,136.2,61.51
47,Vijay Kumar,Class 3A,M,7,154.8,45.37
48,Vijay Das,Class 5C,F,11,168.7,43.19
49,Neha Das,Class 10A,F,14,184.7,27.86
50,Tanya Shukla,Class 6C,F,7,114.2,21.51
51,Arun Pandey,Class 2A,F,9,111.1,30.84
52,David Khan,Class 11B,F,13,abc,57.58
53,Priya Singh,Class 8C,M,6,133.3,51.0
54,Prakash Khan,Class 4A,M,12,192.4,86.42
55,James Iyer,Class 10C,F,18,158.0,90.9
56,Rahul Pillai,Class 2C,M,13,128.3,78.92
57,James Iyer,Class 4A,M,15,193.8,81.32
58,Sanjay Patel,Class 8C,F,8,178.8,52.65
59,Mohammed Smith,Class 4B,F,12,123.4,90.4
60,Arun Menon,Class 4B,M,12,184.6,27.28
61,Chen Pillai,Class 9B,M,6,113.8,
62,Fatima Nair,Class 12A,M,11,183.7,
63,Rohan Joshi,Class 8C,M,15,135.7,10.37
64,Ravi Dubey,Class 11A,M,5,104.2,54.3
65,Arun Sharma,Class 8C,F,7,151.9,60.25
66,Asha Menon,Class 10B,F,15,163.8,95.28
67,Ankit Rao,Class 1C,F,14,127.9,51.77
68,David Shukla,Class 3B,M,6,166.8,30.0
69,Divya Tiwari,Class 6A,F,7,200.0,82.33
70,Asha Tiwari,Class 4C,M,9,134.6,25.06
71,Neha Patel,Class 4A,F,18,177.1,61.81
72,James Mishra,Class 10C,F,10,173.4,37.05
73,Chen Khan,Class 9C,M,16,151.5,94.52
74,Rahul Menon,  Class 11A  ,M,16,105.1,38.63
75,Tanya Reddy,Class 8A,M,13,180.4,13.98
76,Prakash Menon,Class 11B,M,11,168.8,78.29
77,Sarah Tiwari,Class 4A,M,11,177.5,6.23
78,Sanjay Gupta,Class 8A,F,8,198.2,48.9
79,James Reddy,Class 9B,M,16,174.7,56.2
80,Rahul Bajaj,Class 3A,M,13,188.1,28.72
81,Chen Das,Class 4C,M,12,128.9,92.85
82,Nikhil Khan,Class 3B,,10,117.5,51.53
83,,Class 6C,M,8,140.5,31.1
84,Chen Khan,Class 8C,F,18,187.3,7.81
85,Rohan Das,Class 3B,F,17,156.4,N/A
86,Divya Sinha,Class 2B,F,17,137.4,37.75
87,Kavya Verma,Class 3C,M,12,182.3,93.74
88,Arun Kumar,Class 10B,M,12,105.6,73.15
89,James Khan,Class 6C,M,12,138.1,29.99
90,Kavya Sinha,Class 9C,M,10,109.2,67.37
91,Lakshmi Bajaj,Class 8A,M,6,169.6,32.16
92,Divya Tiwari,Class 11A,M,14,155.3,19.62
93,Asha Singh,Class 11B,F,12,195.7,N/A
94,,  Class 11A  ,1,150,110.7,52.65
95,Arjun Pillai,Class 2C,M,13,108.3,97.73
96,Nikhil Sinha,Class 2B,M,5,171.3,24.05
97,Arun Chopra,Class 11C,M,10,196.9,45.06
98,Rohan Bajaj,Class 6A,M,7,100.5,13.25
99,Priya Patel,  Class 7C  ,F,13,117.0,49.31
100,Ankit Verma,Class 5A,M,14,143.1,30.04
101,Arjun Singh,Class 6A,F,8,155.0,43.85
102,Meera Bajaj,Class 4A,M,14,169.2,89.55
103,Asha Bajaj,Class 9B,F,8,157.5,58.86
104,Meera Patel,Class 7B,F,16,181.0,67.71
105,Sarah Singh,Class 9B,F,,121.5,57.73
106,Sunita Iyer,Class 7C,M,14,191.9,23.86
107,Tanya Khan,Class 12B,M,7,186.6,38.39
108,Suresh Pillai,Class 5C,F,16,157.3,54.2
109,Meera Reddy,Class 1C,M,17,168.9,61.62
110,Neha Iyer,Class 7A,M,11,112.7,82.85
111,Fatima Dubey,Class 2C,F,-1,166.4,21.78
112,Ravi Das,Class 8A,M,,195.8,65.0
113,Fatima Patel,Class 9B,M,150,--,98.82
114,Lakshmi Reddy,Class 9A,M,N/A,172.2,68.66
115,Rohan Chopra,Class 3C,M,14,184.7,18.86
116,Chen Mishra,Class 2B,F,18,117.3,101
117,Sanjay Menon,Class 9B,M,13,132.7,64.32
118,Chen Patel,Class 2A,M,150,178.3,78.11
119,Geeta Joshi,Class 2B,M,10,,-5
120,Sneha Sharma,Class 9C,F,10,122.3,87.7
121,Kiran Kumar,Class 6A,F,16,100.6,
122,Kavya Chopra,Class 6A,M,8,137.2,13.35
123,Mohammed Rao,Class 9B,F,8,110.6,35.83
124,Ankit Smith,Class 1C,M,10,182.0,55.6
125,Sunita Kumar,Class 5A,M,18,164.6,80.89
126,Meera Chopra,Class 4C,F,5,149.9,38.3
127,Geeta Das,Class 8B,F,11,102.9,47.17
128,Chen Bajaj,Class 2A,F,18,173.8,35.17
129,Geeta Mishra,Class 2A,N/A,10,132.4,77.44
130,Asha Gupta,Class 4B,F,13,122.3,68.85
131,Arjun Pandey,Class 5C,F,8,196.3,101
132,,Class 4B,F,18,168.7,29.49
133,Arjun Smith,Class 2C,F,15,110.1,72.2
134,Rahul Gupta,,F,7,111.6,26.5
135,Sarah Pillai,Class 6C,M,13,106.1,68.71
136,Arjun Sinha,Class 4A,M,8,198.8,83.41
137,Arjun Das,  Class 10C  ,F,14,192.5,53.56
138,Tanya Mishra,Class 9B,F,12,181.7,69.62
139,Kiran Singh,Class 5A,F,18,106.6,52.43
140,Rahul Rao,Class 5A,F,5,196.1,83.77
141,Rahul Smith,Class 5C,F,,,25.24
142,Meera Gupta,Class 7B,,15,159.4,33.63
143,Nikhil Dubey,Class 2A,F,16,190.7,99.48
144,Vijay Mishra,Class 4B,M,16,118.3,35.53
145,Fatima Pandey,Class 2B,M,9,199.2,98.66
146,Ravi Dubey,Class 10B,M,17,163.3,3.77
147,Prakash Tiwari,Class 6A,F,14,194.8,43.37
148,Arun Nair,Class 1B,M,13,103.7,4.86
149,Suresh Reddy,Class 11A,M,15,141.9,28.27
150,Prakash Tiwari,Class 4B,M,-1,166.9,72.36
151,James Iyer,Class 1C,F,18,166.3,62.18
152,Arjun Gupta,Class 11A,M,5,191.1,61.13
153,Lakshmi Khan,Class 10B,N/A,15,161.8,66.37
154,,Class 11A,M,10,164.3,80.13
155,Pooja Chopra,Class 12C,F,15,105.4,61.98
156,Arun Bajaj,Class 7A,M,7,125.4,21.56
157,Rahul Dubey,Class 10B,,16,148.3,57.86
158,Nikhil Singh,Class 6A,F,11,184.3,55.36
159,Sneha Bajaj,Class 4C,F,13,141.7,84.73
160,Asha Sharma,Class 7A,M,17,161.6,64.71
161,Suresh Bajaj,Class 7C,F,18,170.5,60.34
162,Asha Patel,Class 9A,F,150,115.4,61.56
163,Geeta Sinha,Class 2B,F,8,195.0,75.21
164,Vijay Shukla,Class 7C,M,9,151.4,65.15
165,Arun Das,Class 5B,M,16,174.7,8.75
166,Chen Iyer,,M,17,135.8,60.66
167,Priya Mishra,Class 12B,F,17,101.1,57.27
168,Lakshmi Chopra,Class 11C,F,17,199.0,67.17
169,Divya Khan,Class 2B,F,16,N/A,71.22
170,Ravi Mishra,Class 12C,M,7,162.7,63.16
171,Rahul Das,Class 4A,F,6,184.8,51.41
172,Mohammed Chopra,Class 11B,M,17,104.6,52.14
173,Sarah Gupta,Class 2B,M,18,100.7,51.45
174,Prakash Reddy,Class 3B,M,11,116.1,5.59
175,,Class 7A,F,18,176.7,68.56
176,,Class 9C,M,5,109.3,0.12
177,Kavya Sharma,Class 11A,M,17,187.7,
178,Suresh Singh,Class 6B,F,11,148.2,30.67
179,Asha Reddy,Class 4B,F,15,100.5,43.54
180,Arjun Gupta,Class 2A,F,15,178.4,67.4
181,Fatima Gupta,,M,13,127.7,57.49
182,James Singh,Class 12B,F,17,168.2,25.78
183,Geeta Singh,Class 6B,F,12,118.3,73.71
184,Prakash Rao,Class 3B,F,13,131.5,27.47
185,Arun Pandey,Class 12B,M,13,121.1,25.97
186,Divya Smith,Class 8C,F,14,180.4,
187,Mohammed Dubey,Class 7B,M,5,109.6,55.75
188,Asha Shukla,Class 4C,F,16,146.4,92.86
189,Ankit Smith,Class 6C,F,16,118.4,94.04
190,Ankit Mishra,Class 2C,M,9,112.6,35.68
191,Sneha Iyer,Class 12B,F,9,109.0,1.06
192,Neha Kumar,,F,13,139.5,37.84
193,Sneha Shukla,Class 12B,M,15,149.2,2.21
194,  Priya Rao  ,Class 9C,F,10,126.7,89.57
195,Suresh Rao,Class 1C,M,12,115.9,12.21
196,Asha Nair,Class 1A,M,5,115.5,68.59
197,Divya Dubey,Class 11B,F,8,125.1,54.27
198,Kiran Iyer,Class 4B,F,150,162.0,6.33
199,Arun Das,Class 7C,M,7,109.9,52.58
200,Ankit Kumar,Class 2C,F,11,161.7,7.79
201,Arjun Nair,Class 4C,M,15,116.7,15.82
202,Ravi Verma,Class 7C,M,16,139.7,51.76
203,Kavya Singh,Class 6C,M,7,123.3,91.79
204,Prakash Sinha,Class 7B,F,17,193.0,84.95
205,Sanjay Sharma,Class 5C,F,14,139.4,4.93
206,Mohammed Khan,Class 5A,M,11,167.2,999
207,Geeta Pillai,Class 5C,M,14,101.4,2.27
208,Fatima Das,Class 1B,M,8,tall,91.29
209,Arjun Rao,Class 7C,M,12,192.2,1.84
210,Sanjay Iyer,Class 1B,M,15,167.8,57.29
211,Mohammed Nair,Class 5A,M,17,131.7,31.76
212,Meera Joshi,Class 6C,M,14,159.6,77.98
213,Sarah Gupta,Class 1C,F,15,192.7,32.49
214,Lakshmi Gupta,Class 12B,M,18,153.8,76.52
215,Arun Menon,Class 2A,F,16,189.4,2.49
216,Ankit Iyer,Class 4B,M,6,151.2,76.83
217,Kavya Khan,Class 7B,F,--,149.8,49.35
218,,Class 12C,M,5,160.3,99.37
219,Rohan Das,Class 1C,F,17,113.5,52.46
220,Vijay Tiwari,Class 7A,F,10,172.9,23.27
221,Geeta Reddy,Class 9C,N/A,9,999.9,101
222,Pooja Mishra,Class 10C,F,16,--,88.8
223,Arjun Dubey,Class 4C,F,5,137.2,17.5
224,Sanjay Kumar,Class 8A,F,18,199.3,86.48
225,Kavya Patel,Class 7B,M,9,127.3,55.96
226,Suresh Menon,Class 8A,M,6,170.5,44.58
227,Geeta Das,Class 3C,F,15,122.4,39.21
228,Kiran Mishra,Class 10C,F,6,155.6,59.05
229,Ankit Singh,Class 10A,M,16,159.2,17.62
230,Arun Gupta,Class 5B,M,12,119.6,91.32
231,Divya Patel,Class 3C,m,9,139.4,54.51
232,Sneha Verma,Class 3C,M,15,164.2,60.44
233,Kiran Gupta,Class 11B,F,10,136.9,73.02
234,Sanjay Patel,Class 2B,F,13,146.9,79.82
235,Lakshmi Pandey,Class 2A,M,13,161.6,60.38
236,Sarah Iyer,Class 12A,M,18,177.0,21.09
237,Sunita Sharma,Class 12B,F,18,138.2,9.74
238,Vijay Iyer,Class 9B,M,8,-10,9.77
239,David Sharma,Class 5B,M,11,196.7,46.7
240,Meera Sinha,Class 4B,M,5,106.9,64.55
241,Sunita Pillai,  Class 6B  ,F,5,190.5,49.07
242,,Class 11A,F,5,153.5,76.65
243,David Menon,Class 8B,F,8,138.9,96.5
244,Ravi Chopra,Class 12A,M,6,147.1,13.05
245,Kiran Shukla,Class 3A,M,10,132.4,83.64
246,Sunita Iyer,Class 12C,M,15,0,59.37
247,Mohammed Nair,Class 6A,M,14,0,97.68
248,Kiran Dubey,Class 4A,F,5,125.1,10.44
249,Sanjay Reddy,Class 7C,F,8,137.6,89.05
250,Mohammed Pillai,Class 5A,M,12,188.6,61.15
251,Kavya Tiwari,Class 10C,M,8,-10,76.86
252,Prakash Reddy,Class 1A,M,--,145.9,46.38
253,  Vijay Pillai  ,Class 9A,M,16,178.8,5.48
254,Divya Pillai,Class 12C,M,13,158.0,22.54
255,Ankit Verma,Class 3B,F,15,106.6,89.79
256,Suresh Khan,Class 1B,M,16,187.2,41.17
257,Suresh Tiwari,Class 3C,F,9,145.6,28.52
258,Mohammed Smith,Class 3C,M,10,197.5,93.11
259,Lakshmi Das,Class 11A,M,12,104.0,61.75
260,David Pandey,Class 5A,F,13,151.2,71.6
261,James Pillai,Class 10B,F,11,159.8,52.53
262,Priya Joshi,Class 10C,M,9,183.5,999
263,Sunita Dubey,Class 6A,F,16,125.8,--
264,Ravi Pillai,Class 6C,F,15,118.3,87.24
265,Suresh Verma,Class 1A,F,7,118.8,52.57
266,Kiran Patel,Class 8B,F,17,174.4,68.8
267,Arun Reddy,Class 1C,M,5,178.2,18.48
268,Rohan Verma,Class 6A,M,,172.5,47.47
269,Prakash Verma,Class 9C,M,12,104.1,60.04
270,James Joshi,Class 11A,M,6,111.9,74.14
271,David Shukla,Class 10A,F,11,198.8,12.22
272,Lakshmi Sharma,Class 4C,M,17,179.3,26.17
273,Rahul Joshi,Class 9A,M,9,131.2,49.06
274,Sarah Tiwari,Class 9A,F,5,158.4,42.81
275,Chen Dubey,Class 7B,F,11,169.6,39.03
276,Ravi Mishra,Class 7B,F,6,104.8,74.29
277,Ankit Pandey,Class 2B,F,8,167.2,51.62
278,Kiran Iyer,Class 10A,M,7,184.4,63.39
279,Asha Shukla,Class 1B,F,11,113.6,17.6
280,Kavya Patel,Class 9C,M,18,193.3,93.16
281,Geeta Singh,Class 6A,M,12,153.3,47.49
282,Pooja Sinha,Class 1C,M,8,170.1,?
283,James Patel,Class 4B,F,6,141.3,82.02
284,Tanya Chopra,Class 1B,M,0,108.2,83.06
285,Ravi Pillai,Class 7C,F,11,194.8,90.68
286,Arjun Shukla,Class 8C,M,12,120.3,74.64
287,Prakash Menon,Class 4A,M,10,146.9,21.22
288,Neha Sharma,Class 8B,f,11,104.1,33.92
289,Fatima Reddy,Class 6C,F,18,189.3,15.13
290,Mohammed Sharma,Class 10C,F,16,172.0,28.41
291,test,Class 4C,F,5,137.4,2.89
292,Fatima Shukla,Class 10B,M,15,154.7,24.01
293,Arjun Gupta,Class 3B,F,10,149.0,42.31
294,Meera Patel,Class 5C,F,6,147.8,84.15
295,Rahul Tiwari,Class 6B,M,7,141.6,75.74
296,Geeta Smith,Class 6B,,15,196.6,97.39
297,  James Patel  ,Class 1B,M,15,153.9,42.19
298,,Class 7A,M,18,173.7,48.75
299,Prakash Mishra,Class 7C,F,14,102.1,23.21
300,Prakash Sinha,Class 9A,F,18,108.6,49.22
301,Neha Sharma,Class 4B,M,6,125.8,87.77
302,Asha Reddy,Class 10C,M,18,110.5,15.7
303,Sunita Khan,Class 5A,M,10,171.5,75.32
304,Sneha Joshi,Class 8C,M,6,116.4,64.15
305,Asha Tiwari,Class 12C,,9,140.4,61.82
306,Arun Nair,Class 9A,M,8,175.7,59.25
307,Sunita Chopra,Class 8B,M,5,198.9,53.33
308,Suresh Pandey,Class 6A,M,6,109.2,7.81
309,Kavya Iyer,Class 11B,M,16,152.9,15.68
310,Sunita Reddy,Class 3B,F,7,189.4,48.88
311,Rohan Menon,Class 11A,M,12,172.8,38.72
312,Kiran Chopra,Class 1B,F,13,175.8,N/A
313,Geeta Nair,Class 10B,F,18,102.4,97.98
314,Mohammed Menon,Class 7C,F,11,190.0,23.65
315,Ravi Pillai,  Class 5C  ,M,17,184.6,54.04
316,Neha Pillai,Class 7A,M,14,184.2,16.14
317,Prakash Khan,Class 5B,F,15,124.6,N/A
318,Priya Kumar,Class 11B,M,18,181.3,?
319,Priya Rao,Class 8B,F,12,?,27.73
320,Asha Bajaj,Class 2B,M,9,169.3,45.39
321,Ravi Joshi,Class 12A,M,9,139.2,99.03
322,David Smith,Class 1B,F,12,133.4,61.96
323,Rahul Sharma,Class 3C,M,6,185.0,86.46
324,Meera Shukla,Class 1B,,16,157.3,72.46
325,James Pandey,Class 7B,M,10,165.8,55.94
326,David Patel,Class 10C,F,7,149.6,46.65
327,Geeta Chopra,Class 1A,M,12,104.4,88.54
328,Priya Smith,Class 3C,M,12,194.1,87.84
329,David Das,Class 6A,M,7,187.3,20.92
330,Sanjay Gupta,Class 11B,F,12,179.1,45.21
331,Sarah Verma,Class 7A,M,11,149.8,26.56
332,Neha Dubey,Class 3B,M,9,127.4,
333,Prakash Verma,Class 1A,M,16,178.6,79.19
334,David Pillai,Class 3C,F,10,176.3,56.76
335,Rohan Dubey,Class 9B,F,12,189.5,3.21
336,Arjun Menon,Class 10C,M,11,147.8,12.99
337,Tanya Pandey,  Class 10C  ,M,14,187.9,28.79
338,James Gupta,Class 6A,F,7,104.4,53.77
339,Sneha Mishra,Class 8C,F,8,169.4,abc
340,Asha Chopra,Class 6A,F,7,112.4,1.12
341,Nikhil Bajaj,Class 12A,M,5,120.2,-5
342,Chen Reddy,Class 4B,F,14,112.1,40.21
343,Prakash Iyer,Class 5B,F,13,125.2,38.86
344,Arun Sinha,,F,8,102.1,42.85
345,David Khan,Class 10B,F,5,128.8,24.22
346,Asha Sinha,Class 7C,M,8,112.6,20.44
347,David Rao,Class 10B,F,11,160.9,48.2
348,James Shukla,Class 9A,F,10,N/A,40.46
349,James Dubey,Class 3B,M,17,148.9,92.65
350,Vijay Sinha,Class 6B,M,abc,191.7,51.85
351,James Tiwari,Class 7B,M,17,193.0,-5
352,James Chopra,Class 3C,M,7,119.2,91.3
353,Sunita Iyer,Class 11B,M,15,N/A,26.58
354,Asha Singh,Class 9B,F,5,188.8,27.95
355,TBD,,M,15,161.3,93.08
356,James Shukla,Class 11C,M,13,195.5,17.04
357,Priya Smith,Class 6C,F,15,109.0,76.63
358,Lakshmi Chopra,Class 10A,M,10,111.6,-5
359,Meera Singh,Class 3C,,18,183.7,14.59
360,James Tiwari,Class 11A,F,17,173.3,86.54
361,Asha Smith,Class 11A,F,9,139.4,80.51
362,Mohammed Pillai,Class 5B,M,6,195.0,9.6
363,Vijay Singh,Class 9B,F,7,179.5,65.03
364,Ankit Reddy,Class 1B,F,17,170.3,71.38
365,Arjun Das,Class 2B,M,15,118.0,12.88
366,Rahul Patel,Class 12B,M,13,114.0,99.68
367,Rahul Rao,Class 5B,M,16,138.2,25.42
368,Lakshmi Iyer,Class 8C,M,17,107.8,6.6
369,Kavya Rao,Class 5C,M,9,134.9,9.91
370,Geeta Chopra,Class 9B,M,15,105.3,24.91
371,Geeta Pillai,Class 5C,F,6,109.4,?
372,Mohammed Mishra,Class 12B,M,16,199.4,94.49
373,Sneha Tiwari,Class 3C,F,6,185.1,N/A
374,Sneha Dubey,  Class 11B  ,F,5,100.9,
375,Fatima Rao,Class 4C,F,7,187.1,39.45
376,Pooja Bajaj,Class 11B,F,11,138.9,15.55
377,Ravi Joshi,Class 7A,F,13,126.4,47.39
378,David Pandey,Class 9B,M,6,170.0,6.13
379,Divya Sinha,,F,14,136.4,55.18
380,Arun Pandey,Class 5B,M,6,181.7,94.18
381,Neha Chopra,Class 6B,F,16,152.4,27.41
382,Suresh Nair,Class 11C,F,14,121.8,45.54
383,Suresh Iyer,Class 6A,F,17,121.0,97.22
384,Mohammed Joshi,Class 1A,F,13,158.3,25.73
385,Ravi Iyer,Class 9B,F,6,117.6,28.2
386,David Patel,Class 9B,M,abc,177.0,-5
387,Ankit Nair,Class 4B,M,15,154.5,0.12
388,James Rao,Class 3B,M,10,192.5,42.86
389,Asha Menon,Class 6C,F,6,177.8,79.69
390,Lakshmi Iyer,Class 9A,F,17,192.2,49.26
391,Sanjay Pandey,  Class 2C  ,M,7,184.9,14.41
392,Prakash Rao,Class 4A,F,15,115.8,1.25
393,Mohammed Chopra,Class 8A,M,15,101.1,55.42
394,Meera Smith,Class 3C,M,16,169.2,38.05
395,Sunita Patel,Class 6A,,9,124.0,98.65
396,Divya Menon,Class 9B,M,13,158.7,29.01
397,Suresh Rao,Class 4B,F,9,189.1,61.04
398,Geeta Kumar,Class 2C,M,9,171.1,76.31
399,Pooja Sharma,Class 3C,F,13,104.3,69.97
400,Rohan Gupta,Class 2C,F,6,119.9,48.63
401,Mohammed Mishra,Class 9A,F,8,127.0,40.51
402,Asha Iyer,Class 10A,M,12,169.7,0.99
403,Tanya Khan,,M,17,100.4,44.93
404,Meera Sinha,Class 8B,M,9,169.9,35.22
405,Sarah Pillai,Class 12B,F,18,tall,62.38
406,Asha Menon,Class 12C,F,17,--,50.76
407,  Sneha Joshi  ,,F,16,199.3,64.44
408,Vijay Gupta,Class 12A,M,17,183.7,pass
409,Ankit Pandey,Class 10C,M,9,180.7,8.3
410,Sunita Pillai,Class 6B,F,8,107.4,37.53
411,Priya Smith,Class 3B,F,5,119.3,15.23
412,Chen Patel,Class 11A,F,11,117.3,39.28
413,Lakshmi Mishra,Class 6C,F,10,188.9,60.39
414,Sunita Smith,Class 6A,F,--,156.7,28.36
415,Nikhil Bajaj,Class 10A,M,5,117.1,28.5
416,James Khan,Class 12A,M,11,140.0,39.33
417,Sunita Verma,Class 1A,F,16,199.0,78.49
418,Tanya Gupta,Class 10C,M,11,124.1,77.26
419,Divya Das,Class 5B,,8,134.0,31.34
420,Sunita Khan,Class 11C,M,9,146.1,46.08
421,Sunita Das,Class 11C,F,15,118.9,51.86
422,Sunita Sharma,Class 12B,F,16,117.1,101
423,James Sinha,Class 4C,M,5,167.9,58.32
424,Rohan Bajaj,Class 4B,M,12,166.3,30.11
425,Prakash Shukla,Class 1B,M,12,143.1,37.78
426,Sneha Pillai,Class 8B,F,8,161.2,79.23
427,Kiran Bajaj,Class 4B,Male,18,--,87.87
428,Ankit Sinha,Class 2C,F,11,126.1,67.89
429,Mohammed Joshi,Class 10C,F,16,146.8,2.77
430,Tanya Menon,Class 12B,M,11,151.8,98.62
431,Suresh Singh,Class 11C,M,12,115.5,80.56
432,Nikhil Reddy,Class 1B,M,12,154.7,61.72
433,Asha Rao,Class 11A,M,15,146.4,12.01
434,Asha Shukla,Class 3C,X,18,152.5,65.59
435,Geeta Bajaj,Class 11A,M,17,158.9,N/A
436,Sneha Bajaj,Class 6A,F,6,175.0,2.95
437,Vijay Pandey,Class 7A,F,8,,77.44
438,Sneha Chopra,Class 11A,M,15,178.2,60.15
439,Fatima Gupta,Class 7A,F,16,198.5,20.05
440,Ravi Bajaj,Class 1C,F,6,172.3,35.03
441,Sneha Sharma,Class 9A,F,16,111.6,35.18
442,Priya Rao,Class 12B,M,5,104.4,29.24
443,Fatima Das,Class 5C,F,15,154.1,95.06
444,Sanjay Rao,Class 4A,F,6,158.8,?
445,David Gupta,Class 7B,M,10,159.1,43.41
446,Sunita Das,Class 12B,F,16,128.1,77.13
447,Fatima Bajaj,Class 1A,F,12,196.6,5.86
448,Ankit Pillai,Class 11B,M,8,186.1,6.08
449,Kavya Verma,Class 3A,M,10,142.6,36.03
450,James Shukla,Class 4A,M,17,194.0,15.01
451,Chen Pandey,Class 9C,M,13,129.3,36.2
452,Lakshmi Joshi,Class 8C,F,18,177.6,26.03
453,Mohammed Pandey,  Class 4C  ,M,16,103.4,13.24
454,Arjun Sinha,Class 8A,M,12,143.6,72.37
455,Priya Pandey,Class 7C,F,9,152.5,38.41
456,Nikhil Chopra,Class 7C,M,8,198.9,14.1
457,Nikhil Sharma,Class 1A,F,14,145.4,11.99
458,Fatima Chopra,Class 5C,F,13,189.2,52.13
459,,Class 5C,M,12,,6.73
460,Fatima Shukla,Class 11A,F,15,135.7,88.09
461,Asha Joshi,Class 3B,M,17,102.9,40.9
462,Geeta Pillai,Class 11B,M,14,111.0,53.98
463,Ravi Verma,Class 12A,M,16,133.2,pass
464,Sarah Menon,Class 6A,F,16,150.5,74.27
465,Arjun Nair,Class 10A,F,15,122.2,70.29
466,Divya Das,Class 1B,F,9,109.5,25.0
467,Rohan Rao,Class 8A,F,8,131.3,51.44
468,Suresh Patel,Class 3B,M,7,abc,29.42
469,Divya Pandey,Class 5B,F,12,199.6,47.39
470,Priya Menon,Class 10C,F,15,192.8,58.45
471,Neha Dubey,Class 5B,M,15,159.2,66.85
472,Ankit Shukla,Class 7C,M,15,124.1,35.5
473,David Smith,Class 10A,F,11,185.5,61.7
474,Sneha Chopra,,M,13,127.5,25.3
475,Sneha Mishra,Class 11A,M,16,113.2,63.75
476,  David Dubey  ,Class 7C,F,11,119.3,17.26
477,Vijay Chopra,Class 12C,M,6,131.8,1.04
478,James Bajaj,Class 3C,F,10,119.9,9.24
479,Prakash Dubey,Class 9A,F,17,155.2,21.07
480,Vijay Smith,Class 9A,F,18,133.7,16.27
481,Rohan Pandey,Class 6A,F,5,190.1,95.4
482,Nikhil Shukla,Class 3C,M,17,146.1,30.75
483,NA,Class 8B,F,15,191.7,39.99
484,Tanya Gupta,Class 1B,M,150,113.8,33.96
485,Prakash Mishra,Class 4B,M,15,180.7,N/A
486,James Joshi,Class 10B,F,6,138.3,93.42
487,Kiran Joshi,Class 11B,F,9,129.3,3.56
488,Sarah Patel,Class 11B,F,18,156.9,60.94
489,Lakshmi Patel,Class 9B,F,6,119.2,85.42
490,Arun Joshi,Class 11C,M,11,127.5,9.71
491,Lakshmi Sinha,Class 8A,M,18,121.1,3.23
492,Divya Patel,Class 7A,X,14,197.3,92.12
493,David Nair,Class 4B,F,8,136.3,76.18
494,Pooja Pillai,  Class 4C  ,F,15,197.4,13.86
495,Priya Singh,Class 2C,F,18,123.9,13.27
496,Asha Shukla,Class 10C,F,,103.2,86.22
497,Sunita Sinha,Class 1B,M,18,192.7,10.36
498,Lakshmi Smith,Class 6A,M,12,126.0,69.96
